epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.6510000228881836;0.6555649042129517;0.6555649018287659;0.6448000073432922;0.6695585250854492;0.6602506184577942
1;0.7421562671661377;0.605276346206665;0.6052762806415558;0.7439999580383301;0.579264223575592;0.605706000328064
2;0.7650031447410583;0.5798786282539368;0.5798786854743958;0.7663999795913696;0.5373469591140747;0.5830575060844422
3;0.7775343656539917;0.5663138031959534;0.5663137578964234;0.7671999931335449;0.6067923903465271;0.5839757299423218
4;0.7830969095230103;0.5619762539863586;0.5619762635231018;0.7720000147819519;0.6091513633728027;0.5823903703689575
5;0.7826937437057495;0.5628105401992798;0.5628104531764984;0.7520000338554382;0.572758674621582;0.5910950756072998
6;0.7905937433242798;0.5544573664665222;0.5544573509693146;0.7583999633789062;0.6147530674934387;0.5802199196815491
7;0.7926905751228333;0.5519626140594482;0.5519625556468963;0.763200044631958;0.6081905364990234;0.5846477293968201
8;0.7991843819618225;0.5459644198417664;0.5459644258022308;0.7599999904632568;0.5734097957611084;0.5789226174354554
9;0.8063187599182129;0.5388824343681335;0.5388824164867401;0.7680000066757202;0.6390367746353149;0.5875354099273682
10;0.8094781041145325;0.5340856313705444;0.5340856266021728;0.7727999687194824;0.6158413290977478;0.5859570002555847
11;0.8176031112670898;0.5259221792221069;0.5259221911430358;0.7727999687194824;0.5530481934547424;0.5945023691654205
12;0.8186124563217163;0.5244260430335999;0.5244260847568512;0.7455999851226807;0.6199530363082886;0.6292495775222778
13;0.8243594169616699;0.5285542011260986;0.5285542666912079;0.7696000337600708;0.5933699607849121;0.5844934558868409
14;0.8287999629974365;0.5124670267105103;0.5124670004844666;0.7567999362945557;0.6039063930511475;0.6009818267822266
15;0.8331406116485596;0.5052832961082458;0.5052832973003387;0.7663999795913696;0.6042459011077881;0.5924818348884583
16;0.8404656648635864;0.496773898601532;0.4967739236354828;0.7360000014305115;0.6945605874061584;0.638562159538269
17;0.8394531011581421;0.4971081614494324;0.49710816740989683;0.753600001335144;0.5668244957923889;0.6049708795547485
18;0.8422218561172485;0.4919080436229706;0.4919080138206482;0.7472000122070312;0.6174565553665161;0.6291110157966614
19;0.8499093651771545;0.48204657435417175;0.4820466148853302;0.7184000015258789;0.6701263189315796;0.6644203472137451
20;0.8531405925750732;0.47908440232276917;0.4790843725204468;0.7391999959945679;0.6304813623428345;0.6242379665374755
21;0.8570531606674194;0.47169768810272217;0.4716977047920227;0.7168000340461731;0.6650890707969666;0.6755206680297852
22;0.8578187227249146;0.4733414053916931;0.4733414274454117;0.7359999418258667;0.6652710437774658;0.6406015706062317
23;0.8585374355316162;0.4673439860343933;0.46734400987625124;0.7184000015258789;0.6518052220344543;0.6856946659088134
24;0.8611781597137451;0.46790453791618347;0.467904566526413;0.7088000178337097;0.7302405834197998;0.7055314350128173
25;0.8633468747138977;0.461629718542099;0.46162963449954986;0.758400022983551;0.6296660304069519;0.6257650566101074
26;0.8695999979972839;0.4536293148994446;0.45362930655479433;0.7280000448226929;0.6032606959342957;0.6652165257930756
27;0.8739625215530396;0.44660526514053345;0.44660528540611266;0.6943999528884888;0.6711450219154358;0.6963024067878724
28;0.8804906010627747;0.4365632236003876;0.43656322717666624;0.7088000178337097;0.7078844308853149;0.6899653625488281
29;0.8827781081199646;0.4308478832244873;0.43084789156913755;0.7247999906539917;0.6658010482788086;0.6861153030395508
