epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.6525428295135498;0.6739584803581238;0.6726519093242795;0.6735999584197998;0.653158962726593;0.646964111328125
1;0.7199233770370483;0.6434198617935181;0.6386542262989361;0.6887999773025513;0.628719687461853;0.6307310152053833
2;0.7400220632553101;0.6283832788467407;0.6194513062722818;0.7239999771118164;0.6149957180023193;0.615693998336792
3;0.7499380111694336;0.605782151222229;0.605958625479036;0.7279999852180481;0.5900058150291443;0.6086639356613159
4;0.7561068534851074;0.5885096192359924;0.5955115259995106;0.7344000339508057;0.6165505647659302;0.6077541399002075
5;0.762781023979187;0.5916210412979126;0.5872037749103063;0.7360000014305115;0.6167362928390503;0.606138436794281
6;0.7637821435928345;0.5983625054359436;0.5849289581765253;0.7319999933242798;0.5914502143859863;0.6018723487854004
7;0.7744226455688477;0.5768119692802429;0.5762119298418537;0.7311999797821045;0.59563148021698;0.613118028640747
8;0.7733548283576965;0.5682048201560974;0.5744621286485914;0.7328000068664551;0.6444820165634155;0.6180567240715027
9;0.7679392099380493;0.5700610280036926;0.5742037846792213;0.7296000123023987;0.5608024001121521;0.6167522895336152
10;0.7815068364143372;0.5584949851036072;0.5665234017580357;0.7455999851226807;0.6121630668640137;0.6067481112480163
11;0.7842146158218384;0.5789603590965271;0.5664050649347263;0.7343999743461609;0.648368239402771;0.6187441754341125
12;0.7830895781517029;0.5817638635635376;0.5605512852231488;0.7391999959945679;0.6025530099868774;0.6195797634124756
13;0.7884384393692017;0.5721579790115356;0.5594768734998578;0.7391999959945679;0.5906829833984375;0.6189813947677613
14;0.7922617793083191;0.5426803827285767;0.553843978060385;0.7383999824523926;0.6688351631164551;0.6258518409729004
15;0.8004804849624634;0.5462080836296082;0.5463600577745896;0.7375999689102173;0.6199265718460083;0.6231474184989929
16;0.8090234398841858;0.5326665043830872;0.5370176628427213;0.7135999798774719;0.6371849775314331;0.6465850591659545
17;0.8063061237335205;0.5349344611167908;0.5396327506506807;0.7199999690055847;0.6177936792373657;0.6372165155410766
18;0.809605062007904;0.5316336154937744;0.5404473256856593;0.7184000015258789;0.6014891266822815;0.6327574717998504
19;0.8164794445037842;0.5233396887779236;0.5321438968441893;0.7151999473571777;0.665195107460022;0.6521222567558289
20;0.821828305721283;0.5357872247695923;0.525282685673393;0.7120000123977661;0.6589394807815552;0.643135781288147
21;0.8257755637168884;0.5350514054298401;0.520233324781776;0.7103999853134155;0.6417465209960938;0.6464654421806335
22;0.8334604501724243;0.5130259394645691;0.5145119957007696;0.7120000123977661;0.6232158541679382;0.6419373273849487
23;0.828845739364624;0.5086848139762878;0.5142129957675934;0.7008000016212463;0.5876352787017822;0.6584714078903198
24;0.8363970518112183;0.5222981572151184;0.5082332408584361;0.687999963760376;0.7077670097351074;0.6847802686691284
25;0.8384755849838257;0.5197699069976807;0.5035258487322445;0.6799999475479126;0.6500861644744873;0.6830137157440186
26;0.8424134254455566;0.4937084913253784;0.5009337593374295;0.6416000127792358;0.7898595929145813;0.7391733193397522
27;0.8445967435836792;0.49407580494880676;0.4962783142208532;0.6735999584197998;0.6765024662017822;0.6797075581550598
28;0.8524246215820312;0.5078851580619812;0.4864702388709289;0.6656000018119812;0.7351789474487305;0.7094498038291931
29;0.8419938087463379;0.49136126041412354;0.5014559735897847;0.656000018119812;0.7006236910820007;0.7494275951385498
