epoch;auc;categorical_crossentropy;loss;val_auc;val_categorical_crossentropy;val_loss
0;0.513427734375;0.6957563161849976;0.6957563422620296;0.824704110622406;0.6200520992279053;0.6127484486653254
1;0.6308059692382812;0.6688658595085144;0.6688659079372883;0.8772189021110535;0.5803560614585876;0.5789657280995295
2;0.6670608520507812;0.6530623435974121;0.653062354773283;0.8853549957275391;0.5559389591217041;0.5472796421784621
3;0.69775390625;0.6389309763908386;0.638931006193161;0.88165682554245;0.5400100946426392;0.5253819823265076
4;0.7124404907226562;0.6258049607276917;0.6258048638701439;0.8786982297897339;0.4959174394607544;0.5076423929287837
5;0.7240676879882812;0.6154478788375854;0.6154478322714567;0.8713017702102661;0.4792381525039673;0.49788984885582555
6;0.7316513061523438;0.6094709038734436;0.6094709075987339;0.8705621957778931;0.5050880908966064;0.4941326929972722
7;0.739990234375;0.6021599173545837;0.6021598633378744;0.8624259829521179;0.5121007561683655;0.49990206956863403
8;0.7460403442382812;0.5980393290519714;0.5980393663048744;0.8609467148780823;0.4936990439891815;0.48958781590828526
9;0.7582473754882812;0.5904526114463806;0.5904526039958;0.8565088510513306;0.4938451051712036;0.49586178476993853
10;0.757598876953125;0.5897242426872253;0.5897242221981287;0.841715931892395;0.5260307192802429;0.503424699489887
11;0.7645645141601562;0.5859975218772888;0.5859975405037403;0.8476331233978271;0.5355478525161743;0.4990012737420889
12;0.7741470336914062;0.5799224376678467;0.5799224525690079;0.841715931892395;0.47130632400512695;0.5010537161276891
13;0.7860641479492188;0.5668097734451294;0.5668097008019686;0.8535503149032593;0.49812737107276917;0.49681037205916184
14;0.7891387939453125;0.5640720129013062;0.5640719719231129;0.8402366638183594;0.49787288904190063;0.49898551060603213
15;0.7913436889648438;0.5558822751045227;0.5558822844177485;0.834319531917572;0.4925023913383484;0.49856879160954404
16;0.7919692993164062;0.5568724870681763;0.5568724498152733;0.8594674468040466;0.4866448640823364;0.48416951527962315
17;0.7947158813476562;0.5520050525665283;0.5520049594342709;0.8520710468292236;0.45244908332824707;0.4855113969399379
18;0.79119873046875;0.5584378838539124;0.5584378652274609;0.8594674468040466;0.5006300210952759;0.48274943461784947
19;0.8111343383789062;0.5342298746109009;0.5342298839241266;0.8742603063583374;0.4928721487522125;0.47577510888759905
20;0.8074111938476562;0.5407230854034424;0.5407230854034424;0.8572485446929932;0.48650461435317993;0.4833574891090393
21;0.8012847900390625;0.5447483658790588;0.5447483565658331;0.8639053106307983;0.449704647064209;0.4748086379124568
22;0.8116683959960938;0.535944402217865;0.5359443742781878;0.8668639063835144;0.4979582130908966;0.4756818413734436
23;0.8072128295898438;0.5407260656356812;0.5407260172069073;0.8550295829772949;0.45643192529678345;0.47449017946536726
24;0.814910888671875;0.5287879705429077;0.5287879928946495;0.8609467148780823;0.4949343800544739;0.47299381402822643
25;0.8124771118164062;0.5310593247413635;0.5310593470931053;0.8661242723464966;0.4646044969558716;0.46086679972135103
26;0.820648193359375;0.5214663743972778;0.5214664153754711;0.8668639063835144;0.44243234395980835;0.46357057186273426
27;0.8228607177734375;0.5181800127029419;0.5181800201535225;0.8713017702102661;0.4215931296348572;0.4541388199879573
28;0.8168563842773438;0.5258727669715881;0.525872802361846;0.889053225517273;0.4573780596256256;0.4519972801208496
29;0.817474365234375;0.5268278121948242;0.5268278419971466;0.8698225021362305;0.492793470621109;0.466189980506897
